SA1090-A96213A-R20-C09,5
SA1090-A96213A-R20-C11,1
SA1090-A96213A-R20-C19,6
SA1090-A96213A-R20-C24,7
SA1090-A96213A-R20-C27,8
SA1090-A96213A-R20-C30,9
SA1090-A96213A-R20-C33,1
SA1090-A96213A-R20-C35,10
SA1090-A96213A-R20-C47,1
SA1090-A96213A-R20-C61,11
SA1090-A96213A-R22-C17,12
SA1090-A96213A-R22-C21,13
SA1090-A96213A-R22-C24,14
SA1090-A96213A-R22-C31,2
SA1090-A96213A-R22-C40,15
SA1090-A96213A-R22-C47,16
SA1090-A96213A-R22-C48,17
SA1090-A96213A-R22-C50,1
SA1090-A96213A-R24-C13,18
SA1090-A96213A-R24-C14,19
SA1090-A96213A-R24-C15,20
SA1090-A96213A-R24-C20,21
SA1090-A96213A-R24-C31,22
SA1090-A96213A-R24-C35,23
SA1090-A96213A-R24-C39,24
SA1090-A96213A-R24-C43,2
SA1090-A96213A-R24-C44,25
SA1090-A96213A-R24-C54,26
SA1090-A96213A-R24-C66,27
SA1090-A96213A-R25-C10,28
SA1090-A96213A-R25-C19,29
SA1090-A96213A-R25-C35,1
SA1090-A96213A-R25-C43,30
SA1090-A96213A-R25-C52,31
SA1090-A96213A-R25-C56,1
SA1090-A96213A-R25-C64,1
SA1090-A96213A-R25-C67,32
SA1090-A96213A-R25-C68,33
SA1090-A96213A-R26-C09,34
SA1090-A96213A-R26-C12,35
SA1090-A96213A-R26-C37,36
SA1090-A96213A-R27-C26,37
SA1090-A96213A-R27-C30,38
SA1090-A96213A-R27-C64,1
SA1090-A96213A-R28-C08,39
SA1090-A96213A-R28-C09,40
SA1090-A96213A-R28-C11,41
SA1090-A96213A-R28-C16,42
SA1090-A96213A-R28-C24,43
SA1090-A96213A-R28-C26,44
SA1090-A96213A-R28-C30,45
SA1090-A96213A-R28-C54,46
SA1090-A96213A-R28-C57,47
SA1090-A96213A-R28-C63,48
SA1090-A96213A-R28-C65,49
SA1090-A96213A-R29-C39,50
SA1090-A96213A-R29-C46,51
SA1090-A96213A-R29-C59,52
SA1090-A96213A-R29-C64,53
SA1090-A96213A-R29-C69,1
SA1090-A96213A-R30-C07,54
SA1090-A96213A-R30-C08,55
SA1090-A96213A-R30-C10,56
SA1090-A96213A-R30-C11,57
SA1090-A96213A-R30-C14,58
SA1090-A96213A-R30-C35,1
SA1090-A96213A-R30-C41,59
SA1090-A96213A-R30-C47,60
SA1090-A96213A-R30-C55,61
SA1090-A96213A-R30-C56,1
SA1090-A96213A-R30-C60,62
SA1090-A96213A-R31-C09,63
SA1090-A96213A-R31-C16,64
SA1090-A96213A-R31-C34,65
SA1090-A96213A-R31-C43,66
SA1090-A96213A-R31-C60,1
SA1090-A96213A-R31-C62,67
SA1090-A96213A-R31-C70,68
SA1090-A96213A-R32-C10,1
SA1090-A96213A-R32-C13,69
SA1090-A96213A-R32-C14,70
SA1090-A96213A-R32-C15,71
SA1090-A96213A-R32-C45,1
SA1090-A96213A-R32-C49,72
SA1090-A96213A-R32-C57,73
SA1090-A96213A-R32-C63,1
SA1090-A96213A-R32-C64,74
SA1090-A96213A-R32-C68,75
SA1090-A96213A-R32-C69,76
SA1090-A96213A-R33-C10,77
SA1090-A96213A-R33-C29,78
SA1090-A96213A-R33-C33,79
SA1090-A96213A-R33-C55,1
SA1090-A96213A-R34-C35,80
SA1090-A96213A-R34-C50,81
SA1090-A96213A-R34-C70,82
SA1090-A96213A-R35-C18,83
SA1090-A96213A-R35-C22,84
SA1090-A96213A-R35-C39,85
SA1090-A96213A-R20-C12,1
SA1090-A96213A-R20-C22,86
SA1090-A96213A-R22-C28,87
SA1090-A96213A-R22-C37,88
SA1090-A96213A-R22-C49,89
SA1090-A96213A-R24-C16,90
SA1090-A96213A-R24-C22,91
SA1090-A96213A-R24-C23,92
SA1090-A96213A-R24-C37,93
SA1090-A96213A-R24-C46,94
SA1090-A96213A-R24-C59,95
SA1090-A96213A-R24-C67,96
SA1090-A96213A-R24-C70,97
SA1090-A96213A-R25-C17,98
SA1090-A96213A-R25-C18,1
SA1090-A96213A-R25-C23,1
SA1090-A96213A-R25-C28,99
SA1090-A96213A-R25-C32,100
SA1090-A96213A-R25-C49,101
SA1090-A96213A-R25-C54,102
SA1090-A96213A-R26-C18,103
SA1090-A96213A-R26-C21,1
SA1090-A96213A-R26-C23,1
SA1090-A96213A-R26-C33,104
SA1090-A96213A-R26-C43,105
SA1090-A96213A-R26-C45,106
SA1090-A96213A-R26-C48,107
SA1090-A96213A-R26-C49,108
SA1090-A96213A-R26-C61,109
SA1090-A96213A-R26-C65,110
SA1090-A96213A-R26-C69,111
SA1090-A96213A-R27-C19,1
SA1090-A96213A-R27-C21,112
SA1090-A96213A-R27-C43,2
SA1090-A96213A-R27-C49,113
SA1090-A96213A-R27-C57,114
SA1090-A96213A-R27-C58,115
SA1090-A96213A-R27-C62,116
SA1090-A96213A-R27-C63,1
SA1090-A96213A-R28-C22,117
SA1090-A96213A-R28-C25,118
SA1090-A96213A-R28-C32,119
SA1090-A96213A-R28-C33,1
SA1090-A96213A-R28-C34,120
SA1090-A96213A-R28-C38,121
SA1090-A96213A-R28-C42,122
SA1090-A96213A-R28-C43,123
SA1090-A96213A-R28-C50,124
SA1090-A96213A-R28-C51,125
SA1090-A96213A-R28-C55,1
SA1090-A96213A-R28-C66,126
SA1090-A96213A-R28-C69,127
SA1090-A96213A-R29-C12,128
SA1090-A96213A-R29-C15,129
SA1090-A96213A-R29-C18,130
SA1090-A96213A-R29-C36,131
SA1090-A96213A-R29-C40,1
SA1090-A96213A-R29-C42,1
SA1090-A96213A-R29-C44,132
SA1090-A96213A-R29-C49,133
SA1090-A96213A-R29-C51,134
SA1090-A96213A-R29-C54,1
SA1090-A96213A-R30-C17,135
SA1090-A96213A-R30-C44,136
SA1090-A96213A-R30-C58,137
SA1090-A96213A-R31-C10,138
SA1090-A96213A-R31-C11,139
SA1090-A96213A-R31-C13,140
SA1090-A96213A-R31-C15,1
SA1090-A96213A-R31-C37,141
SA1090-A96213A-R31-C39,142
SA1090-A96213A-R31-C41,143
SA1090-A96213A-R31-C42,144
SA1090-A96213A-R31-C49,145
SA1090-A96213A-R31-C56,146
SA1090-A96213A-R32-C40,1
SA1090-A96213A-R32-C47,147
SA1090-A96213A-R32-C52,1
SA1090-A96213A-R33-C08,148
SA1090-A96213A-R33-C20,149
SA1090-A96213A-R33-C24,1
SA1090-A96213A-R33-C27,150
SA1090-A96213A-R33-C28,151
SA1090-A96213A-R33-C30,152
SA1090-A96213A-R33-C32,153
SA1090-A96213A-R33-C34,154
SA1090-A96213A-R33-C37,155
SA1090-A96213A-R33-C43,156
SA1090-A96213A-R33-C44,157
SA1090-A96213A-R33-C46,158
SA1090-A96213A-R33-C57,1
SA1090-A96213A-R33-C58,159
SA1090-A96213A-R33-C60,160
SA1090-A96213A-R33-C61,1
SA1090-A96213A-R33-C70,161
SA1090-A96213A-R34-C11,162
SA1090-A96213A-R34-C13,163
SA1090-A96213A-R34-C15,164
SA1090-A96213A-R34-C16,165
SA1090-A96213A-R34-C21,166
SA1090-A96213A-R34-C23,167
SA1090-A96213A-R34-C29,1
SA1090-A96213A-R34-C44,168
SA1090-A96213A-R34-C46,1
SA1090-A96213A-R34-C49,1
SA1090-A96213A-R35-C14,169
SA1090-A96213A-R35-C15,170
SA1090-A96213A-R35-C24,171
SA1090-A96213A-R35-C33,172
SA1090-A96213A-R35-C47,173
SA1090-A96213A-R20-C13,174
SA1090-A96213A-R20-C21,175
SA1090-A96213A-R20-C25,176
SA1090-A96213A-R20-C37,177
SA1090-A96213A-R20-C48,178
SA1090-A96213A-R20-C50,179
SA1090-A96213A-R20-C56,2
SA1090-A96213A-R20-C62,180
SA1090-A96213A-R20-C63,181
SA1090-A96213A-R22-C22,2
SA1090-A96213A-R22-C26,182
SA1090-A96213A-R22-C27,2
SA1090-A96213A-R22-C32,183
SA1090-A96213A-R22-C33,184
SA1090-A96213A-R22-C39,185
SA1090-A96213A-R24-C12,186
SA1090-A96213A-R24-C18,187
SA1090-A96213A-R24-C32,188
SA1090-A96213A-R24-C42,189
SA1090-A96213A-R24-C47,190
SA1090-A96213A-R24-C48,191
SA1090-A96213A-R24-C64,192
SA1090-A96213A-R24-C65,193
SA1090-A96213A-R25-C11,194
SA1090-A96213A-R25-C14,195
SA1090-A96213A-R25-C16,196
SA1090-A96213A-R25-C21,197
SA1090-A96213A-R25-C30,198
SA1090-A96213A-R25-C31,199
SA1090-A96213A-R25-C39,2
SA1090-A96213A-R25-C42,200
SA1090-A96213A-R25-C46,201
SA1090-A96213A-R25-C47,202
SA1090-A96213A-R25-C60,203
SA1090-A96213A-R25-C66,204
